severity,condition,fire_intensity,road_stability,aftershock_prob,area_risk,rescue_delay,survival_prob,risk_class
2,0.7698,7.7099,0.5772,0.9911,4.5073,6.4,0.2211,2
0,0.7129,0.6825,0.3486,0.7472,4.8873,19.95,0.514,1
1,0.3138,8.3708,0.1593,0.74,11.8878,4.72,0.423,2
0,0.4602,4.3719,0.605,0.9503,6.9217,3.57,0.6384,1
2,0.5299,9.1551,0.3181,0.2029,10.9623,22.94,0.1069,2
2,0.1746,7.2153,0.8664,0.5655,2.2198,20.13,0.3894,1
1,0.5755,6.104,0.9933,0.9796,12.7884,13.06,0.4814,1
0,0.4927,9.4931,0.7524,0.1653,10.6633,16.48,0.5757,1
2,0.8219,3.9665,0.0905,0.7003,13.6041,9.36,0.1036,2
1,0.9801,9.5409,0.2887,0.5858,1.9856,14.48,0.184,1
2,0.6004,1.35,0.1091,0.5865,8.8952,15.2,0.2181,1
2,0.3904,4.8375,0.6505,0.6977,8.9868,11.62,0.3642,1
0,0.1391,2.6991,0.7652,0.9296,5.3019,27.2,0.7104,0
2,0.9322,5.3984,0.9257,0.7826,6.877,0.48,0.2679,1
0,0.9272,1.6201,0.4382,0.0561,0.5697,23.47,0.5225,0
2,0.3277,8.4153,0.9014,0.8527,11.1879,3.73,0.2982,2
1,0.7259,8.4641,0.8779,0.2255,8.2398,23.93,0.3291,1
2,0.1679,9.5524,0.3172,0.3769,0.8661,18.48,0.2945,1
0,0.2496,1.5467,0.8689,0.4617,10.2113,25.3,0.5513,0
0,0.2951,6.2333,0.3757,0.4809,7.0017,2.93,0.728,1
1,0.365,4.7424,0.2969,0.4352,0.5169,16.77,0.4346,1
2,0.9962,3.4438,0.6491,0.9374,14.5441,15.03,0.0656,2
2,0.7272,3.5154,0.3284,0.706,14.2367,21.19,0.1566,2
1,0.4458,4.1279,0.6302,0.6312,7.6935,16.03,0.5112,1
2,0.7634,7.0493,0.6098,0.0498,1.4051,16.22,0.277,1
2,0.9237,5.9829,0.5634,0.9039,11.3193,12.89,0.05,2
0,0.9628,4.5968,0.3804,0.9094,7.379,9.27,0.3787,1
2,0.1521,0.7593,0.5485,0.7802,4.5367,14.47,0.4166,1
2,0.4551,0.7777,0.5965,0.007,7.3713,3.55,0.4753,1
1,0.1961,0.0234,0.5457,0.0573,7.8367,28.85,0.6215,0
1,0.4021,9.677,0.4444,0.2252,8.4407,21.43,0.2325,1
0,0.2527,0.0525,0.0147,0.1313,6.6184,28.57,0.6042,0
2,0.6822,1.0309,0.5871,0.3988,9.0863,6.8,0.3133,1
2,0.4494,3.146,0.1684,0.9226,13.781,26.38,0.0893,2
2,0.3065,8.0743,0.6426,0.4721,5.434,24.26,0.3091,1
0,0.3393,9.621,0.7593,0.0134,10.8857,20.31,0.4836,1
0,0.4243,7.9001,0.5004,0.2827,13.4168,18.75,0.4278,1
1,0.334,6.9056,0.5424,0.0446,6.8397,9.5,0.5621,1
0,0.5079,5.213,0.9515,0.0363,6.6518,24.49,0.6692,0
2,0.1291,0.8671,0.8472,0.2757,9.0318,15.05,0.4995,1
2,0.3518,9.5817,0.9142,0.2756,8.8711,2.13,0.3173,1
0,0.4701,7.5839,0.8138,0.7871,12.0988,9.39,0.485,1
2,0.6425,6.3895,0.1089,0.9748,7.1473,28.06,0.1206,2
2,0.3439,7.5904,0.149,0.3712,14.9418,25.52,0.1727,2
0,0.2199,7.241,0.5266,0.4289,0.8921,29.46,0.5769,0
0,0.1686,6.3723,0.2461,0.8448,0.0475,18.84,0.6151,1
2,0.9465,9.8058,0.4767,0.2681,9.603,7.43,0.1201,2
2,0.475,9.0336,0.3944,0.1564,4.4765,4.88,0.4022,1
2,0.623,6.4666,0.5494,0.8531,3.6057,5.61,0.2295,1
1,0.9273,6.9318,0.7469,0.0465,4.6785,0.59,0.3772,1
1,0.1745,0.516,0.7155,0.6197,3.8407,11.72,0.5628,0
1,0.889,6.6992,0.5212,0.562,0.4619,5.74,0.3366,1
0,0.5964,0.4417,0.8224,0.3459,14.573,12.35,0.5486,1
1,0.2484,5.8826,0.4309,0.3152,3.3112,28.05,0.4641,1
0,0.4701,9.9935,0.8967,0.7719,11.0104,12.92,0.4846,1
0,0.7998,5.5581,0.0713,0.0864,11.4389,26.34,0.3133,1
1,0.5323,4.7321,0.9547,0.2368,13.9389,18.17,0.4535,1
1,0.9868,3.1285,0.6547,0.7324,0.4582,7.41,0.4517,1
1,0.4391,1.2052,0.3801,0.5483,13.0807,10.68,0.4774,1
2,0.7746,7.3102,0.1972,0.128,7.9084,2.52,0.1057,2
1,0.4537,1.926,0.4792,0.8821,9.4882,10.0,0.5475,1
2,0.8462,1.1528,0.1946,0.3934,9.6671,20.33,0.2135,1
0,0.6122,4.2176,0.1663,0.8279,12.297,2.16,0.592,1
2,0.1572,7.9534,0.6174,0.7877,5.0011,6.16,0.4402,1
1,0.1331,7.4506,0.5231,0.6244,10.9958,11.44,0.5388,1
0,0.2205,0.5488,0.6701,0.4945,7.9287,29.46,0.6533,0
0,0.1123,4.5514,0.9296,0.9796,11.9009,23.55,0.5829,1
0,0.1678,5.2243,0.5323,0.145,14.8582,22.0,0.6196,1
2,0.7225,6.4455,0.5809,0.7252,3.0098,3.49,0.2325,1
1,0.5809,6.5017,0.0896,0.1912,14.9197,23.43,0.2898,1
0,0.7749,3.647,0.7176,0.3383,1.3472,23.56,0.3926,0
0,0.9218,5.6068,0.3999,0.3087,0.0348,18.03,0.4602,1
0,0.6266,4.8106,0.9767,0.947,0.6624,29.71,0.5571,0
2,0.7535,8.85,0.8232,0.9674,5.1267,9.76,0.1819,2
2,0.7814,5.3027,0.5225,0.183,9.4936,28.24,0.2352,1
1,0.4401,4.4103,0.1232,0.022,1.0354,27.44,0.4213,1
2,0.317,4.0449,0.8594,0.72,0.085,0.34,0.5394,1
0,0.2845,5.7243,0.7998,0.418,14.0564,13.5,0.5618,1
1,0.3263,8.0398,0.1846,0.0888,12.3289,29.31,0.3771,1
0,0.3473,5.384,0.2953,0.6838,12.1377,3.09,0.5915,1
0,0.2865,6.6166,0.7934,0.5451,13.2664,16.43,0.558,1
2,0.8904,7.3786,0.1852,0.9805,10.5005,29.37,0.05,2
1,0.7813,5.2017,0.9178,0.2274,1.5661,16.66,0.4168,1
2,0.1422,4.2682,0.4245,0.404,5.9865,5.69,0.471,1
2,0.3418,8.7667,0.087,0.5425,10.8472,17.47,0.2355,2
1,0.12,4.1751,0.8157,0.7917,4.205,6.13,0.6898,1
0,0.5483,4.6194,0.3735,0.5488,10.3111,15.59,0.6037,1
0,0.5286,9.9034,0.5265,0.6129,0.3675,2.22,0.633,1
1,0.8482,0.0024,0.1123,0.2261,4.5921,18.16,0.3512,1
0,0.377,1.8547,0.0026,0.8469,8.237,15.5,0.527,1
1,0.8347,3.8396,0.638,0.4286,9.4813,22.2,0.3423,1
1,0.9712,9.3259,0.5152,0.141,8.6556,18.92,0.2465,1
2,0.1796,0.7003,0.5935,0.6642,10.4663,16.49,0.4911,1
1,0.8126,0.0949,0.7937,0.2161,0.0913,20.69,0.5991,0
2,0.631,0.5268,0.6466,0.0976,1.5141,4.32,0.5727,1
0,0.532,0.8854,0.1748,0.862,13.0342,17.86,0.5569,1
0,0.4785,0.376,0.3608,0.4602,10.2262,5.16,0.6733,1
0,0.8062,4.7978,0.9059,0.7493,1.694,27.77,0.5192,1
0,0.6754,5.8076,0.7699,0.2906,12.6311,2.05,0.6468,1
2,0.8245,2.7169,0.5566,0.787,3.6335,12.91,0.226,1
0,0.9128,3.9829,0.2556,0.1119,7.1739,20.87,0.4019,1
1,0.6555,0.917,0.3021,0.356,2.1779,13.74,0.4293,1
1,0.9824,3.3637,0.732,0.9781,10.6517,2.76,0.2682,1
1,0.6473,5.2252,0.8512,0.794,10.0028,16.6,0.281,1
2,0.673,7.3227,0.6714,0.4973,3.1667,19.25,0.2342,1
0,0.5993,0.0335,0.8095,0.3398,12.951,21.11,0.5248,0
0,0.1819,4.6731,0.7667,0.8721,6.0196,11.2,0.6295,1
0,0.7538,2.97,0.1497,0.5448,4.3877,16.91,0.5111,1
2,0.5927,8.5282,0.4239,0.7584,2.2849,13.52,0.2204,1
1,0.5058,7.1555,0.153,0.7541,3.9925,20.16,0.3415,1
1,0.9194,5.8911,0.2352,0.0179,0.3304,17.51,0.4027,1
0,0.3682,2.7727,0.8693,0.1263,8.7489,15.77,0.7283,0
1,0.5712,9.1034,0.4729,0.6596,12.6335,7.49,0.3944,2
1,0.7279,0.451,0.5354,0.1616,8.2347,0.06,0.5277,1
2,0.8168,1.0947,0.1784,0.2555,3.2891,5.22,0.3967,1
2,0.5134,3.9163,0.3123,0.9466,0.505,3.51,0.3542,1
2,0.8579,1.2444,0.2302,0.5602,3.2194,13.47,0.2439,1
2,0.792,9.5642,0.2062,0.7507,6.2418,18.37,0.1374,2
0,0.1596,7.9799,0.638,0.558,11.3942,6.39,0.5889,1
2,0.1413,2.5898,0.2569,0.5525,2.8176,28.17,0.4641,1
1,0.6587,5.8855,0.632,0.0942,10.7969,0.2,0.4475,1
0,0.4127,9.8233,0.0585,0.3437,13.004,23.17,0.3369,1
1,0.2882,8.842,0.1418,0.2824,6.8092,18.76,0.427,1
1,0.6217,6.008,0.2745,0.3907,12.3215,11.21,0.3214,1
1,0.4074,9.0372,0.597,0.7983,8.3199,1.51,0.527,1
2,0.5835,9.8918,0.6758,0.3719,9.5564,18.82,0.1608,2
2,0.5141,7.4335,0.4427,0.4517,7.8942,11.57,0.272,1
0,0.6263,0.6499,0.4458,0.3974,6.9476,28.09,0.4492,0
0,0.4603,4.0158,0.7245,0.0934,3.5198,16.26,0.7007,0
2,0.7279,8.3783,0.0158,0.4411,4.5479,28.19,0.05,2
1,0.2621,2.3057,0.3411,0.1956,4.3496,6.61,0.6406,1
0,0.7269,8.3064,0.8187,0.1867,8.4493,21.77,0.4339,1
2,0.4705,1.2034,0.6032,0.094,1.7993,18.52,0.3181,1
2,0.8869,0.4695,0.3372,0.3567,13.7519,22.18,0.1623,1
2,0.5637,3.8409,0.9055,0.7575,10.8098,6.44,0.3215,1
1,0.9758,0.3673,0.7726,0.2764,6.0217,19.95,0.4222,1
2,0.6417,9.5727,0.2649,0.3123,2.3794,14.94,0.2797,1
2,0.3015,8.2621,0.6453,0.6427,13.2299,22.28,0.3152,2
2,0.8396,8.0077,0.5958,0.1958,12.3567,9.81,0.2131,2
2,0.4106,6.2978,0.4012,0.897,10.8258,26.7,0.1744,2
0,0.4129,2.1632,0.367,0.5202,4.0732,2.53,0.6172,0
0,0.1286,5.1826,0.3436,0.4476,6.0367,24.22,0.622,1
2,0.5938,5.9727,0.6172,0.5578,1.5412,25.84,0.2428,1
1,0.581,5.2503,0.4424,0.166,2.8356,24.52,0.3898,1
0,0.4204,2.6023,0.8319,0.6135,11.7452,15.38,0.6331,1
2,0.9048,5.1525,0.6696,0.3631,10.7256,13.15,0.2341,1
0,0.2159,4.9119,0.0699,0.8972,8.9023,29.89,0.4291,1
0,0.3971,9.9634,0.6402,0.1689,13.4359,6.88,0.5129,1
1,0.3894,8.9744,0.2711,0.5071,8.749,16.41,0.3443,1
2,0.1831,4.6338,0.5928,0.5981,7.0045,20.12,0.3303,1
2,0.533,6.2294,0.6801,0.0334,5.1056,21.03,0.2234,1
1,0.719,7.4787,0.2308,0.3637,14.1067,6.12,0.251,2
1,0.5605,0.3487,0.4569,0.7326,1.2407,19.62,0.3977,1
2,0.2413,8.9492,0.1903,0.8204,13.9633,24.55,0.2083,2
2,0.4396,8.6013,0.0523,0.3132,12.4007,1.5,0.3413,2
1,0.1023,4.5743,0.3785,0.7986,1.9489,27.35,0.4208,1
0,0.8815,3.9117,0.3629,0.9678,8.4748,0.89,0.4828,1
0,0.1761,2.7296,0.9955,0.8569,12.9982,10.68,0.7237,1
1,0.6376,4.7668,0.4464,0.1176,8.5771,0.47,0.4026,1
0,0.9876,0.4438,0.3336,0.7397,13.608,2.31,0.4622,1
1,0.5829,8.5219,0.5805,0.3197,14.1448,27.34,0.3857,1
0,0.9316,0.3542,0.0888,0.9884,6.3358,10.65,0.4636,1
0,0.3125,3.2905,0.9617,0.4854,5.6597,12.74,0.6908,0
2,0.784,9.3159,0.635,0.1224,14.0448,6.46,0.1557,2
2,0.5781,7.3521,0.7548,0.7252,10.1271,17.91,0.0944,2
0,0.7485,2.8139,0.1705,0.323,1.7403,17.84,0.5407,1
0,0.1561,2.5265,0.4095,0.9971,0.6344,11.17,0.7938,0
2,0.233,0.0508,0.4227,0.9798,8.4694,9.99,0.3599,1
2,0.2198,6.9571,0.8218,0.6561,13.9526,26.55,0.1571,2
2,0.7184,0.4878,0.0012,0.1298,12.6637,11.5,0.2225,1
1,0.86,5.326,0.3009,0.6869,10.1377,14.81,0.2926,1
0,0.7747,9.6212,0.9812,0.093,2.0867,8.5,0.5343,1
2,0.1274,1.0947,0.4749,0.0294,3.8135,23.6,0.4388,1
0,0.8805,8.9448,0.3825,0.823,13.1327,11.92,0.3114,2
1,0.4187,9.9148,0.1198,0.2098,2.7421,15.41,0.3995,1
1,0.4574,0.6152,0.9742,0.379,4.1766,7.6,0.5445,0
2,0.1944,8.8291,0.02,0.9735,1.944,29.63,0.1753,2
1,0.7637,5.1608,0.7372,0.3368,10.1416,8.74,0.364,1
0,0.2641,9.0651,0.7686,0.2965,14.1597,23.12,0.49,1
2,0.6076,5.7132,0.2437,0.9182,4.0345,12.82,0.156,2
0,0.8566,6.6211,0.6716,0.1107,7.1311,6.19,0.5684,1
0,0.1803,5.4378,0.0929,0.7596,9.5151,23.99,0.4821,1
1,0.5818,8.6449,0.257,0.9881,14.992,10.01,0.1396,2
1,0.3099,7.3391,0.7879,0.9013,1.5721,25.96,0.4252,1
1,0.4086,5.2126,0.8647,0.6517,7.4786,27.46,0.4363,1
1,0.5266,8.6816,0.6085,0.3141,5.7768,25.79,0.3006,1
1,0.4196,2.4529,0.5068,0.2543,12.9873,1.05,0.5094,1
2,0.6839,1.5734,0.1593,0.8193,7.1395,23.62,0.1404,1
0,0.5316,1.604,0.0631,0.8798,1.6647,12.34,0.5447,1
0,0.6258,3.3401,0.1176,0.5254,9.5164,26.21,0.4822,1
0,0.7631,2.3869,0.2274,0.2443,11.5617,19.14,0.4551,1
0,0.602,9.3009,0.3417,0.1129,0.0432,25.01,0.5194,1
1,0.6279,1.0583,0.3809,0.0872,12.8844,14.98,0.3825,1
0,0.608,6.9899,0.3463,0.7191,2.7903,16.05,0.4574,1
2,0.4409,1.8922,0.2391,0.4201,8.281,4.33,0.4254,1
2,0.4037,8.8164,0.5097,0.9054,6.237,23.52,0.141,2
0,0.9097,9.6132,0.8253,0.7397,10.7948,12.58,0.4072,1
0,0.6468,4.6547,0.2797,0.1913,5.5674,15.0,0.5014,1
2,0.3199,8.7907,0.9424,0.6138,13.0464,23.55,0.2175,2
2,0.5484,0.0515,0.8733,0.4355,10.9574,17.97,0.4324,1
1,0.3973,8.1995,0.1618,0.5772,9.7157,6.03,0.3662,1
2,0.9403,2.2863,0.7863,0.7381,11.9436,17.71,0.1609,1
1,0.1068,9.087,0.5746,0.8062,11.3103,12.23,0.4694,1
1,0.3028,0.0112,0.5666,0.8437,0.5391,14.09,0.5852,0
1,0.4288,5.5618,0.391,0.254,5.921,0.85,0.5373,1
1,0.539,7.5664,0.5012,0.0311,13.9621,6.3,0.4111,1
1,0.8657,2.5869,0.3972,0.7393,1.8859,8.43,0.3141,1
0,0.1791,1.9313,0.5397,0.1063,11.0564,21.39,0.6974,0
2,0.8253,0.841,0.628,0.3149,14.6189,0.34,0.2686,1
1,0.1501,3.2643,0.6743,0.0038,0.783,12.26,0.712,0
2,0.8581,5.5984,0.5325,0.6817,10.2329,27.72,0.1388,2
2,0.1465,1.1584,0.7214,0.1671,7.0223,3.36,0.4736,1
1,0.1164,3.767,0.1413,0.6553,8.6876,15.49,0.5571,1
0,0.7273,0.0907,0.212,0.9917,1.2801,23.6,0.4554,1
1,0.9975,8.1868,0.8187,0.0727,0.6451,28.28,0.267,1
0,0.9069,1.2845,0.3225,0.0771,10.003,22.4,0.4089,1
2,0.6184,2.8334,0.0229,0.3404,12.3496,21.62,0.1926,2
0,0.9257,0.1843,0.1538,0.8664,11.7302,24.79,0.3494,1
0,0.1048,4.3224,0.2236,0.2155,8.1571,13.39,0.7371,1
0,0.9776,8.4012,0.9573,0.3604,1.498,24.18,0.3725,1
2,0.5417,3.9215,0.573,0.0685,10.3207,0.24,0.4755,1
2,0.7506,1.795,0.9327,0.7632,3.6283,27.74,0.2685,1
0,0.8388,7.537,0.5752,0.4083,13.666,13.3,0.3989,1
0,0.7466,7.8881,0.4794,0.7592,12.574,16.6,0.3538,1
1,0.5815,1.7375,0.3137,0.9036,10.6407,7.65,0.3827,1
0,0.529,7.7085,0.6064,0.2328,14.2327,22.28,0.4447,1
1,0.8547,9.473,0.1392,0.8074,0.4713,2.3,0.2951,1
0,0.2846,1.6638,0.8983,0.0591,11.043,26.18,0.6586,0
1,0.9712,7.7098,0.8293,0.8988,4.9536,24.84,0.1634,1
2,0.7399,7.0857,0.3175,0.6508,13.591,6.48,0.1575,2
0,0.2796,4.7357,0.9528,0.8742,4.0001,24.28,0.5631,0
0,0.7626,0.5792,0.8252,0.0002,10.8728,23.59,0.5707,0
0,0.5769,0.7469,0.6663,0.1691,13.1647,18.97,0.5717,1
0,0.7365,8.5241,0.1218,0.3898,0.6249,11.21,0.499,1
1,0.791,9.9015,0.4782,0.3795,5.9647,8.14,0.3597,1
0,0.1786,6.7605,0.5061,0.2267,11.4346,6.95,0.7114,1
2,0.5555,4.4596,0.2326,0.3816,6.8238,9.56,0.3075,1
2,0.9388,6.4757,0.08,0.1288,4.0088,27.11,0.1091,1
0,0.3886,5.944,0.7767,0.4128,3.2971,2.33,0.6809,0
2,0.6345,3.8361,0.122,0.8024,1.9728,24.87,0.2138,1
0,0.4323,0.6563,0.5943,0.4791,12.8569,10.47,0.6735,1
0,0.5088,8.2151,0.9364,0.018,8.6303,15.65,0.5018,1
2,0.5937,3.7183,0.8761,0.4214,1.1458,23.83,0.337,1
0,0.594,8.1879,0.2778,0.0272,5.7387,26.53,0.5215,1
2,0.2816,2.5251,0.8514,0.9662,5.516,10.34,0.3932,1
1,0.7161,0.0103,0.0003,0.1275,2.7261,13.86,0.4228,1
0,0.1791,1.5894,0.0177,0.7077,6.5326,12.44,0.6267,1
1,0.2249,4.6854,0.6026,0.9728,4.9815,0.4,0.4814,1
2,0.1024,9.443,0.3648,0.826,5.1271,8.88,0.3426,2
1,0.205,1.0219,0.3865,0.6993,11.0854,13.78,0.5173,1
1,0.5258,8.5421,0.5644,0.8395,3.349,12.33,0.3791,1
2,0.6455,5.2702,0.1918,0.9818,9.6279,21.66,0.13,2
1,0.8149,8.2592,0.2118,0.6213,8.5597,11.54,0.2027,2
1,0.196,2.9837,0.4846,0.5592,8.5214,14.68,0.5391,1
2,0.8657,8.3995,0.7543,0.6282,9.9451,12.89,0.1517,2
1,0.7714,7.7282,0.6195,0.5327,8.2257,22.22,0.2377,1
2,0.4677,2.3005,0.2974,0.6351,13.1888,25.89,0.2284,2
1,0.9396,1.3134,0.4303,0.4498,10.1337,15.96,0.3198,1
