fire_intensity,road_stability,aftershock_prob,structure_damage,time_elapsed,risk_class
6.1694,0.8615,0.3809,0.8029,74.81,1
1.0335,0.5376,0.7482,0.0053,9.02,1
4.9011,0.598,0.3059,0.4132,25.88,1
0.447,0.6295,0.4915,0.5586,56.87,1
3.1163,0.1606,0.7522,0.1538,87.56,2
7.5204,0.818,0.2192,0.3085,84.36,1
7.155,0.4988,0.9298,0.7894,12.25,2
9.4155,0.0795,0.8177,0.8487,51.99,2
7.769,0.5286,0.2451,0.0039,54.23,1
2.1523,0.1131,0.3805,0.2392,16.77,1
9.0497,0.7364,0.5974,0.3034,115.49,2
5.5226,0.415,0.8759,0.9937,99.99,2
8.449,0.3229,0.2824,0.2562,86.85,2
9.2249,0.1423,0.342,0.2877,32.52,2
8.2896,0.8713,0.8504,0.1878,56.54,1
3.942,0.0569,0.9883,0.8078,49.57,2
5.9819,0.6314,0.145,0.6633,75.75,1
4.327,0.6881,0.7791,0.6115,111.53,2
6.9415,0.9674,0.5717,0.2241,13.13,1
4.8469,0.3505,0.5287,0.9532,63.45,2
1.2826,0.6491,0.395,0.7307,104.67,1
6.4437,0.2332,0.4015,0.7755,98.31,2
2.0471,0.2942,0.7302,0.783,57.08,2
7.4496,0.8046,0.2295,0.3024,82.6,1
1.0562,0.5376,0.3217,0.6733,63.33,1
0.0731,0.0082,0.9524,0.7036,59.33,2
3.3449,0.5588,0.464,0.2844,41.75,1
9.6926,0.5772,0.8955,0.3391,55.89,2
7.0098,0.5418,0.9465,0.5968,118.5,2
4.1369,0.2253,0.7078,0.1344,73.61,1
1.2075,0.0647,0.1982,0.1273,78.42,1
0.6036,0.3148,0.6339,0.7434,16.35,1
7.2621,0.5383,0.6535,0.2549,68.05,2
9.0545,0.6257,0.0291,0.9226,59.97,2
0.1603,0.2134,0.6964,0.4924,114.11,1
5.8414,0.7116,0.5358,0.9434,119.22,2
7.286,0.0459,0.6602,0.5676,19.26,2
2.922,0.3472,0.8572,0.322,40.87,1
5.228,0.5273,0.5597,0.2344,41.12,1
8.1485,0.8281,0.3082,0.7121,30.28,1
5.9633,0.7641,0.3021,0.1215,89.55,1
3.7856,0.626,0.2052,0.0878,71.01,1
0.7756,0.3969,0.3589,0.8695,100.69,1
4.8691,0.9473,0.5934,0.0013,34.82,1
4.6819,0.1217,0.9169,0.8976,14.66,2
1.8153,0.937,0.0359,0.657,54.3,0
0.7014,0.6377,0.2196,0.9131,63.29,1
5.084,0.7124,0.1696,0.9054,110.01,1
3.3185,0.4329,0.1114,0.9076,112.64,1
2.145,0.5105,0.3331,0.5229,106.01,1
0.9466,0.6227,0.4565,0.0218,95.87,1
8.3793,0.3803,0.6837,0.8604,51.06,2
3.5511,0.6675,0.3708,0.8616,77.23,1
8.2679,0.0966,0.5584,0.605,99.8,2
0.2596,0.5337,0.565,0.017,92.09,1
0.0224,0.0982,0.1647,0.7497,32.66,1
9.2442,0.4335,0.5733,0.9069,35.86,2
6.7393,0.9667,0.7874,0.1753,102.41,1
9.9481,0.1319,0.2419,0.4771,40.25,2
4.7951,0.9062,0.5357,0.3689,8.52,1
1.5914,0.3389,0.6043,0.1244,89.14,1
9.5228,0.3917,0.9974,0.6217,105.37,2
1.6607,0.3581,0.4927,0.3198,83.04,1
3.6929,0.8728,0.3439,0.9151,43.25,1
9.3456,0.2749,0.3646,0.9901,94.64,2
0.8164,0.4562,0.4155,0.9382,115.05,1
4.5396,0.716,0.0645,0.8417,29.39,1
8.8729,0.0264,0.6557,0.7191,113.12,2
3.1941,0.4578,0.4048,0.5315,48.5,1
9.6266,0.6165,0.3997,0.6241,74.35,2
9.9737,0.0596,0.0956,0.875,74.64,2
4.8602,0.8505,0.2622,0.7606,57.5,1
3.2129,0.2996,0.3221,0.6342,66.31,1
9.7344,0.9297,0.9646,0.7646,30.12,2
9.9872,0.3676,0.2046,0.1149,116.09,2
4.4521,0.6835,0.6963,0.9769,105.58,2
0.4475,0.7645,0.4054,0.3642,5.25,0
4.4706,0.7201,0.1437,0.8863,4.68,1
7.1017,0.1481,0.0405,0.7865,14.29,2
6.2607,0.3918,0.4986,0.664,101.41,2
6.7065,0.9221,0.9598,0.5879,2.61,1
9.7192,0.2959,0.0251,0.7275,38.4,2
6.6197,0.9963,0.2446,0.0126,69.57,1
0.9145,0.8106,0.8329,0.1237,109.66,1
5.8973,0.9038,0.435,0.3835,47.84,1
2.1158,0.4743,0.1536,0.8512,30.0,1
7.9508,0.7821,0.8331,0.3343,91.13,2
3.5031,0.1725,0.1552,0.1857,36.43,1
5.0244,0.2256,0.6549,0.4798,7.81,2
7.0354,0.8961,0.0378,0.2298,22.89,1
1.7163,0.6588,0.1248,0.8725,73.78,1
6.0106,0.7512,0.792,0.288,42.62,1
1.6003,0.9991,0.4094,0.0789,74.79,0
8.2658,0.8694,0.4301,0.3671,93.33,1
3.327,0.4329,0.6298,0.1071,19.2,1
5.467,0.4384,0.8537,0.6565,21.65,2
8.3071,0.6509,0.1602,0.5499,64.19,1
9.6907,0.7376,0.8797,0.4109,114.01,2
3.2753,0.6165,0.4461,0.5947,99.2,1
0.8837,0.2074,0.6115,0.915,77.08,2
9.6349,0.3712,0.1579,0.4996,67.54,2
9.893,0.9022,0.2815,0.3642,58.99,1
9.1908,0.1929,0.9695,0.8581,64.78,2
8.5049,0.7499,0.6664,0.7572,100.18,2
4.9369,0.8567,0.579,0.3984,108.85,1
4.6862,0.7676,0.1455,0.3473,105.05,1
5.5895,0.1802,0.9554,0.7747,70.01,2
1.069,0.3172,0.4696,0.7255,58.33,1
8.9874,0.945,0.173,0.903,22.58,1
6.1515,0.32,0.2324,0.9213,115.37,2
9.9205,0.9106,0.9026,0.4742,36.68,2
6.9258,0.7659,0.3015,0.1708,50.29,1
3.5473,0.9489,0.3621,0.624,80.95,1
1.7346,0.4056,0.934,0.1145,75.96,1
0.4617,0.522,0.9666,0.8911,22.09,1
3.2679,0.0322,0.696,0.9107,114.49,2
3.5579,0.1486,0.8148,0.9298,91.74,2
4.7939,0.5785,0.3355,0.627,11.7,1
6.5898,0.0309,0.7249,0.3141,54.47,2
0.8594,0.0364,0.7078,0.8175,18.82,2
2.9645,0.1992,0.4347,0.2294,14.41,1
2.0342,0.4248,0.727,0.6254,3.5,1
6.5216,0.1511,0.7635,0.5153,72.22,2
5.7716,0.5376,0.3317,0.8922,52.92,2
6.818,0.0453,0.5544,0.2827,49.01,2
2.1693,0.3482,0.357,0.8955,88.32,1
0.2227,0.3498,0.5964,0.1162,31.91,1
0.3897,0.3103,0.6868,0.448,101.98,1
4.5671,0.2889,0.1071,0.928,42.3,1
8.7761,0.4737,0.0662,0.9665,6.7,2
5.3916,0.14,0.6866,0.8141,53.11,2
5.2549,0.5723,0.7342,0.0937,109.87,1
5.4423,0.6577,0.0531,0.7496,60.7,1
5.1642,0.6087,0.0136,0.3871,49.92,1
8.8635,0.3614,0.3904,0.0244,2.17,1
4.1019,0.4238,0.7883,0.8218,36.1,2
8.1952,0.9397,0.8298,0.667,24.64,1
8.3222,0.6574,0.9427,0.3725,110.32,2
5.9418,0.3914,0.6594,0.0028,118.56,1
1.9842,0.3752,0.8569,0.6661,82.52,2
7.753,0.1365,0.8204,0.2776,32.89,2
0.0543,0.8602,0.3577,0.1008,49.46,0
0.5275,0.9026,0.9505,0.9704,117.69,1
5.8115,0.5449,0.8809,0.8332,87.89,2
2.5197,0.7365,0.4545,0.6781,39.32,1
2.6417,0.8008,0.2118,0.2664,92.94,1
0.4401,0.9143,0.3388,0.2996,84.01,0
8.9682,0.5009,0.786,0.0753,100.0,2
5.5745,0.938,0.8267,0.4423,13.16,1
0.236,0.8193,0.5273,0.3249,41.4,0
5.7265,0.1218,0.8679,0.0479,85.56,2
7.0301,0.5099,0.1368,0.6019,1.35,1
7.1476,0.8186,0.823,0.6862,64.64,2
4.4603,0.9986,0.4618,0.2485,52.78,1
4.2507,0.3397,0.2125,0.5583,87.01,1
2.7669,0.2361,0.61,0.4408,91.44,2
9.4442,0.6376,0.9067,0.5542,109.62,2
7.8946,0.026,0.689,0.837,43.7,2
9.919,0.0747,0.7969,0.2519,40.87,2
9.0791,0.7559,0.6256,0.5287,15.94,1
4.0743,0.8707,0.4922,0.6087,16.3,1
4.3676,0.8436,0.4406,0.1529,24.83,1
6.2357,0.5387,0.7402,0.3605,32.7,1
3.2429,0.9055,0.7806,0.8345,34.07,1
0.3259,0.9638,0.4869,0.1145,80.47,0
1.6442,0.622,0.9922,0.4429,97.22,1
5.563,0.6733,0.3828,0.7154,77.22,1
5.3704,0.9036,0.5562,0.5655,50.0,1
9.7181,0.7754,0.5617,0.6651,6.74,2
5.3161,0.8802,0.6187,0.918,65.99,1
6.6747,0.5992,0.1968,0.6491,82.53,1
2.7126,0.3251,0.5062,0.6573,41.39,1
3.9297,0.3928,0.7536,0.7738,94.8,2
0.7023,0.2266,0.504,0.999,74.59,2
4.4385,0.0109,0.7482,0.1862,115.9,2
1.9881,0.0146,0.1906,0.5854,116.1,2
0.626,0.8298,0.0334,0.3599,28.33,0
7.9331,0.3362,0.2424,0.5093,18.28,2
1.4048,0.625,0.8593,0.3723,49.55,1
8.9316,0.5584,0.1322,0.2921,91.51,1
1.8254,0.4193,0.2709,0.2015,13.87,1
8.109,0.29,0.0672,0.2622,117.9,2
8.7683,0.4253,0.5305,0.1554,32.86,2
0.0887,0.48,0.4472,0.0594,75.42,1
6.1745,0.8694,0.7808,0.6286,108.55,2
8.0981,0.2496,0.0898,0.1878,95.8,2
9.2796,0.0878,0.0711,0.8148,30.05,2
5.8307,0.9829,0.2452,0.4823,99.85,1
7.835,0.459,0.9061,0.467,48.7,2
5.0468,0.7396,0.5561,0.2593,76.42,1
5.787,0.0253,0.8216,0.2208,109.88,2
2.3565,0.66,0.644,0.307,89.37,1
4.2815,0.0719,0.897,0.1912,113.91,2
6.501,0.3826,0.4875,0.418,116.38,2
2.8244,0.4997,0.7974,0.9729,77.96,2
4.385,0.3698,0.5535,0.4062,117.68,2
9.449,0.315,0.2862,0.8355,96.63,2
1.0689,0.9142,0.2327,0.5126,95.62,0
4.0063,0.2729,0.9015,0.1412,103.72,2
7.9483,0.2172,0.5223,0.922,90.79,2
1.028,0.9793,0.0118,0.145,31.24,0
5.5359,0.417,0.8879,0.9065,61.92,2
3.509,0.623,0.5472,0.4911,117.66,1
5.2852,0.9089,0.9023,0.8221,27.25,1
3.284,0.709,0.3981,0.3695,33.03,1
0.7661,0.4203,0.536,0.4177,50.81,1
8.9472,0.8755,0.2843,0.2082,118.0,1
9.8358,0.7906,0.7052,0.6137,25.77,2
4.2599,0.8826,0.0149,0.5053,116.81,1
7.0522,0.7781,0.6171,0.2803,78.71,1
4.2141,0.8123,0.2794,0.6232,16.51,1
7.633,0.9368,0.0729,0.9754,104.15,1
7.9756,0.227,0.039,0.8853,69.01,2
3.0798,0.4948,0.4699,0.7149,86.89,1
0.4342,0.4455,0.5686,0.5833,25.35,1
9.9536,0.2535,0.7364,0.7583,112.05,2
7.0378,0.5402,0.9842,0.1282,17.86,1
7.2239,0.4242,0.7229,0.536,86.45,2
6.5125,0.7735,0.0079,0.5437,47.91,1
0.6549,0.3099,0.3898,0.2235,48.21,1
0.5203,0.6939,0.7258,0.1979,106.31,1
4.8986,0.7017,0.1057,0.9311,12.97,1
8.0594,0.0448,0.1021,0.9359,43.19,2
9.7912,0.168,0.9474,0.619,69.57,2
5.8205,0.2866,0.7896,0.6504,68.14,2
0.9339,0.7291,0.9144,0.658,63.99,1
3.4993,0.9078,0.491,0.2268,51.35,1
9.4291,0.853,0.5547,0.8143,87.68,2
6.5576,0.3882,0.08,0.9277,23.78,2
4.3345,0.2145,0.7051,0.5354,5.81,2
9.6143,0.8577,0.3075,0.5216,59.3,1
7.5483,0.6258,0.9603,0.2845,114.75,2
1.6414,0.3119,0.9073,0.2005,53.97,1
1.4358,0.0936,0.1131,0.4112,6.26,1
6.5551,0.5309,0.2472,0.6533,119.93,2
9.7974,0.7473,0.1381,0.2453,11.68,1
8.1051,0.9598,0.3438,0.9584,104.04,2
7.1601,0.5868,0.9783,0.0686,106.92,2
7.6974,0.4077,0.8959,0.2515,100.96,2
1.6292,0.0901,0.3189,0.2089,98.69,1
4.8875,0.5901,0.4832,0.2384,95.37,1
6.1116,0.3025,0.5651,0.3931,69.87,2
1.8936,0.4726,0.6677,0.1187,48.54,1
0.5397,0.5734,0.2352,0.1492,109.6,1
2.6155,0.8837,0.5064,0.2712,94.57,1
8.8762,0.9802,0.7289,0.5974,114.72,2
0.4126,0.6609,0.8875,0.4138,11.89,1
2.8818,0.8013,0.1228,0.7278,62.8,1
0.9396,0.0154,0.9402,0.8879,111.56,2
6.8084,0.3221,0.8371,0.28,1.23,2
2.5202,0.5846,0.0602,0.726,80.98,1
4.9485,0.1456,0.5154,0.7761,83.86,2
2.9582,0.808,0.1098,0.5089,57.95,1
8.8156,0.5736,0.4248,0.4582,95.56,2
7.2147,0.9581,0.493,0.7843,23.89,1
1.9752,0.9625,0.7444,0.4831,80.6,1
6.1961,0.7771,0.9489,0.91,25.91,2
1.3509,0.1037,0.9171,0.6393,119.97,2
2.9783,0.1256,0.8526,0.9352,66.44,2
3.6395,0.0056,0.0159,0.2305,10.36,1
4.0941,0.7678,0.1413,0.9758,101.3,1
9.3523,0.1226,0.9211,0.5342,51.6,2
0.5045,0.3541,0.5895,0.4526,40.66,1
8.0899,0.224,0.3899,0.1559,87.36,2
6.2536,0.3974,0.1809,0.1353,100.57,1
8.1898,0.9056,0.0763,0.0689,93.71,1
2.6223,0.877,0.531,0.1739,87.13,1
0.179,0.6907,0.9079,0.2168,82.82,1
0.7951,0.4837,0.5945,0.7751,22.96,1
0.8036,0.7438,0.0094,0.7216,78.65,1
1.6931,0.721,0.4287,0.9885,87.33,1
1.7385,0.8891,0.3798,0.376,80.98,1
6.9356,0.7007,0.1292,0.023,1.4,1
6.6997,0.1151,0.6751,0.7212,14.17,2
0.3174,0.4828,0.4394,0.669,72.39,1
5.6385,0.9672,0.7462,0.6786,111.27,1
9.3014,0.1915,0.5948,0.7411,93.76,2
5.733,0.7376,0.3649,0.685,16.74,1
4.3022,0.3072,0.6529,0.236,79.38,1
1.4983,0.1509,0.3011,0.4013,28.21,1
6.3701,0.9483,0.9867,0.9613,79.25,2
3.8705,0.4619,0.4887,0.7423,36.76,1
3.0076,0.0459,0.7223,0.9641,17.48,2
1.1607,0.3197,0.1785,0.9212,40.21,1
3.0182,0.8623,0.7759,0.7788,76.46,1
1.6972,0.1951,0.1562,0.899,51.12,1
3.4602,0.0495,0.4856,0.4628,18.53,2
1.8925,0.1699,0.4849,0.0825,69.53,1
6.6464,0.6445,0.9031,0.7864,62.69,2
8.2456,0.9903,0.0925,0.1279,97.15,1
7.5765,0.1385,0.6549,0.0155,25.94,2
4.1947,0.1174,0.0021,0.5114,46.55,1
2.4366,0.2644,0.4841,0.9247,54.93,2
5.6911,0.137,0.1993,0.005,29.43,1
8.9816,0.8559,0.4152,0.9853,59.5,2
7.4137,0.7726,0.8553,0.0235,90.22,1
6.9295,0.8179,0.526,0.1546,92.45,1
3.7471,0.4485,0.6845,0.4353,86.62,1
1.7633,0.9658,0.4606,0.428,52.45,0
1.7069,0.7895,0.8799,0.4939,49.19,1
9.9325,0.9484,0.5773,0.2095,18.34,1
1.6403,0.1633,0.191,0.8556,2.87,1
8.4267,0.7573,0.7777,0.7147,34.59,2
7.781,0.8618,0.1923,0.5837,0.11,1
5.628,0.2789,0.8429,0.7584,29.74,2
9.1283,0.0877,0.8978,0.6092,56.61,2
9.1577,0.442,0.6511,0.3822,25.85,2
8.5227,0.8048,0.7616,0.1888,69.47,1
1.6056,0.499,0.3381,0.9615,2.37,1
3.2876,0.8651,0.147,0.5504,1.24,0
4.8893,0.9063,0.3578,0.5981,26.82,1
3.9492,0.531,0.1129,0.7005,72.82,1
1.0068,0.0091,0.5266,0.5838,45.59,1
8.4799,0.7608,0.3151,0.8246,67.55,2
2.9127,0.6752,0.3337,0.3356,101.41,1
3.1732,0.1812,0.978,0.3004,86.33,2
7.7684,0.8391,0.1436,0.9442,18.96,1
3.4031,0.2758,0.5433,0.4711,93.25,2
8.1386,0.8,0.6214,0.4382,32.71,1
1.1731,0.4494,0.8145,0.8305,60.63,1
7.7212,0.6339,0.7999,0.6792,37.27,2
3.6438,0.0358,0.7833,0.8734,107.46,2
2.6808,0.1269,0.6467,0.0299,30.71,1
5.9212,0.242,0.7456,0.924,29.64,2
3.0757,0.7376,0.9187,0.3639,50.85,1
6.4391,0.4324,0.3426,0.9079,0.27,2
7.1604,0.5368,0.2392,0.8062,39.21,2
8.9295,0.3226,0.2058,0.2318,64.7,2
3.197,0.4278,0.5883,0.0956,29.49,1
9.3188,0.6333,0.2757,0.4556,5.04,1
9.8583,0.1841,0.9679,0.0574,5.36,2
5.6815,0.4195,0.4824,0.8057,26.03,2
3.6941,0.6773,0.9198,0.7582,114.7,2
9.5986,0.8486,0.7606,0.1142,107.22,2
8.0612,0.4167,0.9932,0.9236,36.09,2
5.6428,0.7392,0.7436,0.225,90.39,1
6.7916,0.0739,0.4485,0.8362,69.74,2
8.357,0.5437,0.5294,0.4594,63.88,2
2.9397,0.3391,0.0905,0.0256,99.94,1
1.1993,0.4471,0.7294,0.238,47.67,1
5.1985,0.158,0.4482,0.1792,40.03,1
4.4747,0.1536,0.4869,0.0899,44.54,1
1.9402,0.4882,0.0671,0.7067,99.7,1
4.0545,0.6392,0.7967,0.1054,40.43,1
5.0077,0.8535,0.1862,0.434,25.87,1
4.9133,0.9238,0.2831,0.6911,26.59,1
5.5666,0.7253,0.6251,0.9221,2.5,1
5.0623,0.3387,0.7414,0.1443,98.25,2
8.2851,0.4111,0.0936,0.7653,45.24,2
0.5345,0.6145,0.2517,0.5913,24.03,1
9.5542,0.7465,0.8786,0.8331,70.81,2
1.1573,0.4861,0.9218,0.8877,42.0,1
0.3619,0.6733,0.5108,0.6564,84.54,1
9.6047,0.3051,0.997,0.4592,52.71,2
8.6113,0.1523,0.3344,0.5443,115.19,2
9.5936,0.4147,0.395,0.2246,23.61,2
9.9486,0.0482,0.5451,0.0704,75.13,2
5.8514,0.3597,0.0437,0.1047,12.14,1
5.4868,0.3729,0.3856,0.7647,25.09,2
2.6033,0.9417,0.6823,0.3116,103.65,1
1.1889,0.3191,0.0334,0.3986,86.36,1
8.0818,0.8541,0.9257,0.5042,53.62,2
6.8696,0.4079,0.6345,0.6576,36.14,2
2.0182,0.8815,0.3515,0.6272,26.09,1
8.8994,0.9187,0.1057,0.7165,70.0,1
5.1903,0.031,0.9821,0.6136,80.65,2
1.9512,0.5674,0.8124,0.1235,17.22,1
5.0068,0.885,0.9476,0.2803,67.68,1
1.1649,0.795,0.6013,0.0153,115.48,1
6.0079,0.3983,0.4769,0.8114,116.25,2
8.1825,0.6225,0.0632,0.8279,76.17,2
2.4077,0.3059,0.7518,0.2675,92.4,1
5.5821,0.5945,0.051,0.6266,9.69,1
1.7235,0.4545,0.7213,0.6742,24.32,1
7.9263,0.438,0.0121,0.7851,114.88,2
2.9763,0.8401,0.4983,0.8478,22.87,1
9.6977,0.7716,0.1466,0.9361,103.07,2
5.7041,0.9381,0.939,0.0831,106.48,1
3.964,0.0301,0.7941,0.8934,112.44,2
5.7527,0.3662,0.1555,0.8123,119.87,2
0.1406,0.5758,0.5209,0.4699,66.31,1
7.9803,0.27,0.6788,0.5569,94.89,2
6.1176,0.3048,0.8,0.9191,65.67,2
9.1056,0.2962,0.6096,0.8574,79.63,2
9.4851,0.2331,0.1171,0.083,3.01,1
8.1094,0.7281,0.2861,0.5368,66.02,1
0.7952,0.2056,0.5307,0.8371,43.89,1
9.8033,0.1382,0.0625,0.7107,118.97,2
7.4127,0.1899,0.8246,0.7314,7.05,2
7.263,0.8412,0.7498,0.5713,49.12,1
3.8283,0.1982,0.1067,0.4327,43.24,1
0.7561,0.8269,0.4148,0.7155,51.23,1
4.7628,0.6763,0.2502,0.7601,87.05,1
0.5609,0.8482,0.7512,0.8369,109.21,1
5.7628,0.9785,0.8626,0.3663,24.39,1
7.8242,0.8721,0.9334,0.4912,111.67,2
4.8067,0.6397,0.9328,0.3514,82.7,1
5.0708,0.5106,0.9151,0.2103,30.93,1
2.9586,0.7158,0.1718,0.0473,72.28,0
0.1304,0.3217,0.6541,0.9819,6.76,1
4.7373,0.3841,0.3162,0.318,53.05,1
